Name,accuracy_max_disparity,acc,eo2_max_diff,eo_max_diff,max_diff_dp,method,seed,f1,f2,data
easy-cherry-1128,0.045549019,0.779196492,0.021286076,0.065770833,0.105514983,c-fair,0,10,,adult
sage-bush-1120,0.136209562,0.794479912,0.189229329,0.062662494,0.281580636,c-fair,0,1,,adult
polished-sound-1127,0.139698906,0.79409299,0.194604613,0.067544551,0.286620023,c-fair,0,1,,adult
hearty-bee-1160,0.012888449,0.503643516,0.091804095,0.084573973,0.103695549,fair-scale,1,1,,adult
dark-galaxy-1132,0.051160072,0.777390856,0.030566314,0.053694532,0.114233105,c-fair,1,10,,adult
ancient-silence-1164,0.109569516,0.842071323,0.07378863,0.275155013,0.183615086,fair-scale,1,100,,adult
winter-water-1163,0.110251588,0.842393758,0.074581183,0.273998918,0.184293666,fair-scale,1,10,,adult
brisk-gorge-1166,0.111682497,0.839685303,0.07744057,0.274641386,0.186110341,fair-scale,1,1000,,adult
happy-fire-1161,0.114033747,0.842200297,0.076085861,0.257554188,0.183036438,fair-scale,1,1,,adult
glowing-microwave-1131,0.128469818,0.796930419,0.174069041,0.053731509,0.267096982,c-fair,1,1,,adult
glorious-puddle-1130,0.152834126,0.787450829,0.229748784,0.1240129,0.32468249,c-fair,1,0.1,,adult
copper-fire-1659,0.04814507,0.755078352,0.051303348,0.014053967,0.135710706,c-fair,2,10,,adult
desert-moon-1135,0.04814507,0.755078352,0.051303348,0.014053967,0.135710706,c-fair,2,10,,adult
CFair,0.056753236,0.784355452,0.031280544,0.053953946,0.11483576,c-fair,2,,,adult
elated-sea-1118,0.064798015,0.783452634,0.040939884,0.06018449,0.121902161,c-fair,2,,,adult
dashing-cosmos-1168,0.099931053,0.838395563,0.080094283,0.40111958,0.203335815,fair-scale,2,1,,adult
crimson-sound-1173,0.117444105,0.843812472,0.066597844,0.141740254,0.16249181,fair-scale,2,1000,,adult
good-surf-1171,0.117444105,0.843812472,0.066597844,0.141740254,0.16249181,fair-scale,2,100,,adult
dark-snow-1169,0.117444105,0.843812472,0.066597844,0.141740254,0.16249181,fair-scale,2,10,,adult
dauntless-thunder-1151,0.117540547,0.843747985,0.06632221,0.140776553,0.162009604,fair-scale,2,100,,adult
dainty-elevator-1134,0.126676269,0.791706971,0.179063538,0.059001819,0.272612025,c-fair,2,1,,adult
glowing-water-1133,0.159804086,0.785709679,0.24411652,0.128640743,0.338575276,c-fair,2,0.1,,adult
divine-flower-1157,0.177261259,0.741923003,0.004140405,0.007969018,0.005127551,fair-scale,2,100,,adult
major-night-1146,0.177359446,0.742051977,0.004059976,0.007969018,0.005029364,fair-scale,2,10,,adult
ethereal-field-1139,0.062420581,0.778035726,0.053652553,0.016050122,0.139808824,c-fair,3,10,,adult
deep-sunset-1176,0.102771492,0.841361966,0.079428238,0.363928709,0.199730828,fair-scale,3,10,,adult
leafy-bush-1180,0.103353631,0.841361966,0.079864729,0.363286242,0.199927202,fair-scale,3,1000,,adult
copper-sunset-1178,0.103353631,0.841361966,0.079864729,0.363286242,0.199927202,fair-scale,3,100,,adult
wandering-plant-1175,0.109967501,0.843167602,0.080300798,0.292565177,0.193085537,fair-scale,3,1,,adult
stellar-butterfly-1138,0.11977788,0.801380022,0.157955763,0.046727924,0.252818431,c-fair,3,1,,adult
wobbly-sun-1136,0.133177554,0.802540788,0.178929089,0.071138207,0.273968323,c-fair,3,0.1,,adult
good-night-1147,0.044739085,0.775456246,0.026992698,0.072190304,0.111210689,c-fair,4,10,,adult
worldly-brook-1184,0.119862121,0.842974141,0.06856121,0.114313496,0.161564487,fair-scale,4,1000,,adult
efficient-pond-1183,0.119862121,0.842974141,0.068423393,0.113992263,0.161371604,fair-scale,4,100,,adult
fanciful-galaxy-1182,0.119958562,0.842909654,0.06856121,0.113992263,0.161468046,fair-scale,4,10,,adult
zany-sky-1181,0.120344327,0.842651706,0.070123276,0.121507741,0.16360372,fair-scale,4,1,,adult
decent-meadow-1143,0.133921587,0.788224673,0.194258175,0.073842115,0.287386749,c-fair,4,1,,adult
avid-wildflower-1141,0.149425513,0.786032115,0.227439403,0.117012782,0.322596125,c-fair,4,0.1,,adult
wandering-dawn-1153,0.051503942,0.772489843,0.038926649,0.028384103,0.124249037,c-fair,5,10,,adult
upbeat-pond-1185,0.112004988,0.843167602,0.085043964,0.28749246,0.197602568,fair-scale,5,1,,adult
noble-grass-1188,0.114431731,0.843296576,0.085733049,0.270662943,0.196140238,fair-scale,5,1000,,adult
cosmic-resonance-1187,0.114431731,0.843296576,0.085733049,0.270662943,0.196140238,fair-scale,5,100,,adult
dry-plant-1186,0.114431731,0.843296576,0.086008683,0.27130541,0.196526003,fair-scale,5,10,,adult
trim-thunder-1152,0.127682577,0.795705165,0.174941601,0.058421172,0.268434941,c-fair,5,1,,adult
divine-totem-1150,0.147210854,0.787902238,0.225406918,0.128960243,0.322720497,c-fair,5,0.1,,adult
gallant-moon-1158,0.05925416,0.771200103,0.047495184,0.023696173,0.130670024,c-fair,6,10,,adult
laced-eon-1189,0.116388488,0.845102212,0.072007477,0.166023429,0.171872802,fair-scale,6,1,,adult
swept-bird-1191,0.116679557,0.845102212,0.072007477,0.163903635,0.171581733,fair-scale,6,100,,adult
summer-darkness-1190,0.116679557,0.845102212,0.072007477,0.163903635,0.171581733,fair-scale,6,10,,adult
morning-silence-1192,0.116775999,0.845037725,0.072145294,0.163903635,0.171678174,fair-scale,6,1000,,adult
super-armadillo-1155,0.121728086,0.791706971,0.172149228,0.060863933,0.266709903,c-fair,6,1,,adult
skilled-snowball-1154,0.146125561,0.785903141,0.222672776,0.113929287,0.318135386,c-fair,6,0.1,,adult
vague-paper-1165,0.062920244,0.779647901,0.063610146,0.005601365,0.153999662,c-fair,7,10,,adult
vivid-bee-1195,0.119586762,0.84471529,0.072100056,0.171030859,0.170480297,fair-scale,7,100,,adult
chocolate-rain-1196,0.119586762,0.84471529,0.072100056,0.171030859,0.170480297,fair-scale,7,1000,,adult
winter-hill-1194,0.120170647,0.844908751,0.072100056,0.165635176,0.169896412,fair-scale,7,10,,adult
floral-darkness-1193,0.120170647,0.844908751,0.071686606,0.164671475,0.169317764,fair-scale,7,1,,adult
stellar-aardvark-1162,0.121966355,0.796607983,0.169853682,0.076406783,0.266611285,c-fair,7,1,,adult
denim-dew-1159,0.148174836,0.797962211,0.211489509,0.107435863,0.307306911,c-fair,7,0.1,,adult
fluent-pine-1172,0.056427254,0.780486232,0.031818818,0.082921584,0.112311261,c-fair,8,10,,adult
fragrant-monkey-1200,0.113420186,0.838717998,0.092267415,0.303552404,0.205207467,fair-scale,8,1000,,adult
clear-rain-1197,0.113421932,0.838911459,0.094013377,0.316784799,0.208319773,fair-scale,8,1,,adult
daily-river-1198,0.113711256,0.838717998,0.092623477,0.303552404,0.205498536,fair-scale,8,10,,adult
icy-terrain-1199,0.113711256,0.838717998,0.092623477,0.303552404,0.205498536,fair-scale,8,100,,adult
misunderstood-bee-1170,0.123632042,0.79841362,0.163548871,0.05051744,0.256875949,c-fair,8,1,,adult
restful-serenity-1167,0.145239701,0.795253756,0.213532881,0.116045615,0.310922803,c-fair,8,0.1,,adult
revived-sun-1179,0.054777278,0.780421745,0.038871366,0.020549124,0.126010733,c-fair,9,10,,adult
neat-morning-1202,0.116069488,0.842006836,0.082689345,0.25023457,0.189655976,fair-scale,9,10,,adult
helpful-water-1203,0.11635183,0.841039531,0.084595743,0.255759093,0.191874127,fair-scale,9,100,,adult
brisk-voice-1204,0.116546458,0.841104018,0.084951806,0.256080327,0.192261637,fair-scale,9,1000,,adult
blooming-deluge-1201,0.117067068,0.845037725,0.076028051,0.204370394,0.1790003,fair-scale,9,1,,adult
vocal-valley-1177,0.134549976,0.771844973,0.205877091,0.059008752,0.294303457,c-fair,9,1,,adult
wise-darkness-1174,0.156598829,0.785322757,0.239636837,0.120611638,0.334002385,c-fair,9,0.1,,adult
sweet-wind-1562,0.104065502,0.735818476,0.018016244,0.109375,0.119347922,fair-scale,0,10,,compas
firm-firefly-1561,0.133190389,0.734197731,0.017893182,0.086805556,0.104580522,fair-scale,0,1,,compas
sandy-morning-1559,0.149345189,0.732576985,0.004430224,0.029513889,0.075918101,fair-scale,0,0.01,,compas
rose-armadillo-1560,0.149345189,0.732576985,0.004430224,0.029513889,0.075918101,fair-scale,0,0.1,,compas
prime-yogurt-1525,0.026591831,0.74554295,0.029608664,0.038194444,0.130709886,c-fair,1,10,,compas
vibrant-jazz-1526,0.072859515,0.679092382,0.019173025,0.171875,0.114544575,c-fair,1,100,,compas
jolly-bird-1524,0.095320679,0.763371151,0.157076052,0.012152778,0.231054634,c-fair,1,1,,compas
devoted-shadow-1566,0.100533939,0.727714749,0.020551317,0.043402778,0.070767905,fair-scale,1,10,,compas
polished-durian-1565,0.142628913,0.726094003,0.01661334,0.065972222,0.063988564,fair-scale,1,1,,compas
gentle-tree-1563,0.161737193,0.71636953,0.003273443,0.104166667,0.071745391,fair-scale,1,0.01,,compas
dauntless-dust-1564,0.161737193,0.71636953,0.003273443,0.104166667,0.071745391,fair-scale,1,0.1,,compas
pleasant-field-1523,0.016806458,0.743922204,0.022544918,0.029513889,0.090233546,c-fair,2,10,,compas
snowy-disco-1527,0.098621009,0.764991896,0.145311346,0.041666667,0.215015451,c-fair,2,1,,compas
celestial-field-1529,0.103088016,0.617504052,0.167511691,0.131944444,0.193184924,c-fair,2,100,,compas
stellar-capybara-1551,0.113388409,0.724473258,0.042333251,0.166666667,0.142565849,fair-scale,2,100,,compas
classic-jazz-1570,0.113388409,0.724473258,0.042333251,0.166666667,0.142565849,fair-scale,2,10,,compas
pleasant-voice-1556,0.113388409,0.724473258,0.042333251,0.166666667,0.142565849,fair-scale,2,100,,compas
swift-breeze-1555,0.155598999,0.726094003,0.040511937,0.098958333,0.114943978,fair-scale,2,1,,compas
autumn-brook-1567,0.22178428,0.6726094,0.037903027,0.055555556,0.056284291,fair-scale,2,0.01,,compas
wise-smoke-1553,0.234523134,0.666126418,0.037903027,0.027777778,0.043545437,fair-scale,2,0.1,,compas
expert-shape-1532,0.028105358,0.606158833,0.031676101,0.079861111,0.085892666,c-fair,3,100,,compas
charmed-fire-1531,0.038983835,0.729335494,0.068299286,0.015625,0.156071977,c-fair,3,10,,compas
spring-shape-1530,0.095320679,0.763371151,0.145311346,0.026041667,0.218315781,c-fair,3,1,,compas
visionary-dragon-1574,0.127167812,0.747163695,0.018680778,0.107638889,0.117666225,fair-scale,3,10,,compas
playful-snow-1573,0.139906666,0.740680713,0.016982525,0.088541667,0.105158605,fair-scale,3,1,,compas
usual-tree-1572,0.146160476,0.734197731,0.016982525,0.083333333,0.098904795,fair-scale,3,0.1,,compas
kind-dew-1571,0.146160476,0.734197731,0.016982525,0.083333333,0.098904795,fair-scale,3,0.01,,compas
lucky-pond-1534,0.037186521,0.769854133,0.018508491,0.043402778,0.128796956,c-fair,4,10,,compas
vital-monkey-1535,0.051375838,0.713128039,0.102682747,0.065972222,0.189190894,c-fair,4,100,,compas
eager-terrain-1578,0.059363898,0.755267423,0.041004184,0.060763889,0.153749133,fair-scale,4,10,,compas
fanciful-terrain-1558,0.059363898,0.755267423,0.041004184,0.060763889,0.153749133,fair-scale,4,10,,compas
deft-valley-1575,0.062548612,0.753646677,0.041004184,0.053819444,0.150564419,fair-scale,4,0.01,,compas
summer-cherry-1577,0.062548612,0.753646677,0.041004184,0.053819444,0.150564419,fair-scale,4,1,,compas
morning-monkey-1576,0.062548612,0.753646677,0.041004184,0.053819444,0.150564419,fair-scale,4,0.1,,compas
sparkling-fog-1533,0.099083475,0.777957861,0.154467143,0.012152778,0.234817431,c-fair,4,1,,compas
wild-pond-1537,0.009974564,0.734197731,0.035097219,0.027777778,0.077263459,c-fair,5,10,,compas
fragrant-sun-1538,0.015093229,0.667747164,0.015850357,0.03125,0.095394253,c-fair,5,100,,compas
unique-terrain-1536,0.095783145,0.776337115,0.150283042,0.012152778,0.231517101,c-fair,5,1,,compas
dainty-violet-1579,0.126537176,0.638573744,0.103224219,0.177083333,0.149807656,fair-scale,5,0.01,,compas
cerulean-shape-1580,0.126537176,0.638573744,0.103224219,0.177083333,0.149807656,fair-scale,5,0.1,,compas
helpful-snowflake-1582,0.134987703,0.693679092,0.070169825,0.138888889,0.138687436,fair-scale,5,10,,compas
fresh-salad-1581,0.147495323,0.680713128,0.060103372,0.105902778,0.113209729,fair-scale,5,1,,compas
scarlet-morning-1541,0.026476215,0.742301459,0.026212159,0.012152778,0.13128797,c-fair,6,100,,compas
generous-wave-1540,0.043787181,0.773095624,0.011026335,0.034722222,0.104706649,c-fair,6,10,,compas
eager-wildflower-1539,0.091904732,0.758508914,0.154590204,0.012152778,0.227638687,c-fair,6,1,,compas
curious-firebrand-1586,0.123058166,0.722852512,0.012921487,0.102430556,0.101048958,fair-scale,6,10,,compas
desert-wind-1583,0.126127262,0.717990276,0.016317992,0.086805556,0.097517395,fair-scale,6,0.01,,compas
magic-smoke-1584,0.126127262,0.717990276,0.016317992,0.086805556,0.097517395,fair-scale,6,0.1,,compas
winter-paper-1585,0.129543209,0.722852512,0.017105587,0.095486111,0.101164575,fair-scale,6,1,,compas
gallant-snowflake-1543,0.042168548,0.727714749,0.037189269,0.048611111,0.121271363,c-fair,7,10,,compas
classic-rain-1544,0.05991045,0.683954619,0.095126754,0.015625,0.026255492,c-fair,7,100,,compas
divine-rain-1542,0.082466208,0.766612642,0.147009599,0.001736111,0.230939017,c-fair,7,1,,compas
splendid-brook-1590,0.089476782,0.690437601,0.084666503,0.194444444,0.17505413,fair-scale,7,10,,compas
hopeful-silence-1589,0.137363099,0.669367909,0.059315777,0.137152778,0.116278825,fair-scale,7,1,,compas
divine-puddle-1588,0.156586996,0.662884927,0.064287472,0.135416667,0.110718715,fair-scale,7,0.1,,compas
divine-dragon-1587,0.156586996,0.662884927,0.064287472,0.135416667,0.110718715,fair-scale,7,0.01,,compas
happy-totem-1546,0.010205798,0.740680713,0.01745016,0.024305556,0.096140506,c-fair,8,10,,compas
helpful-flower-1547,0.028757016,0.648298217,0.03029781,0.03125,0.050808266,c-fair,8,100,,compas
vibrant-blaze-1593,0.083044292,0.782820097,0.033177455,0.059027778,0.152645519,fair-scale,8,1,,compas
ruby-tree-1594,0.086344622,0.784440843,0.037361556,0.059027778,0.155945849,fair-scale,8,10,,compas
comfy-leaf-1592,0.092482815,0.77471637,0.042456313,0.036458333,0.149113956,fair-scale,8,0.1,,compas
warm-blaze-1591,0.092482815,0.77471637,0.042456313,0.036458333,0.149113956,fair-scale,8,0.01,,compas
fearless-pyramid-1545,0.095320679,0.763371151,0.157076052,0.012152778,0.231054634,c-fair,8,1,,compas
polar-wind-1549,0.019991171,0.742301459,0.017843958,0.020833333,0.124571693,c-fair,9,10,,compas
royal-frost-1550,0.054444935,0.708265802,0.059684962,0.102430556,0.15612453,c-fair,9,100,,compas
decent-wind-1548,0.105684135,0.781199352,0.146886537,0.041666667,0.222078577,c-fair,9,1,,compas
jolly-capybara-1595,0.118307372,0.771474878,0.015702683,0.006944444,0.081015745,fair-scale,9,0.01,,compas
cosmic-firebrand-1596,0.118307372,0.771474878,0.015702683,0.006944444,0.081015745,fair-scale,9,0.1,,compas
easy-star-1597,0.121376469,0.766612642,0.015702683,0.005208333,0.077946648,fair-scale,9,1,,compas
lively-haze-1598,0.121723319,0.776337115,0.015702683,0.03125,0.077599798,fair-scale,9,10,,compas
